playing ...
opening file 'c9.mid'...
146.3415 track1 69 0;
0.0 track3 60 0;
0.0 track4 57 0;
0.0 track1 72 1;
0.0 track4 55 1;
146.3415 track4 55 0;
0.0 track4 53 1;
146.3415 track1 72 0;
0.0 track4 53 0;
0.0 track1 77 1;
0.0 track4 55 1;
146.3415 track4 55 0;
0.0 track4 53 1;
146.3415 track2 69 1;
0.0 track4 53 0;
0.0 track4 52 1;
146.3415 track4 52 0;
0.0 track4 50 1;
146.3415 track4 50 0;
0.0 track2 69 0;
0.0 track4 55 1;
0.0 track2 70 1;
146.3415 track4 55 0;
0.0 track2 70 0;
0.0 track4 58 1;
0.0 track2 74 1;
146.3415 track4 58 0;
0.0 track2 74 0;
0.0 track4 57 1;
0.0 track2 72 1;
146.3415 track2 72 0;
0.0 track4 57 0;
0.0 track2 70 1;
0.0 track4 55 1;
146.3415 track2 70 0;
0.0 track4 55 0;
0.0 track1 77 0;
0.0 track2 72 1;
0.0 track4 57 1;
0.0 track1 76 1;
146.3415 track2 72 0;
0.0 track4 57 0;
0.0 track2 70 1;
0.0 track4 55 1;
146.3415 track4 55 0;
0.0 track2 70 0;
0.0 track4 53 1;
0.0 track2 69 1;
146.3415 track2 69 0;
0.0 track4 53 0;
0.0 track2 67 1;
0.0 track4 52 1;
146.3415 track4 52 0;
0.0 track2 67 0;
0.0 track4 57 1;
0.0 track2 65 1;
146.3415 track2 65 0;
0.0 track2 69 1;
146.3415 track2 69 0;
0.0 track2 67 1;
146.3415 track2 67 0;
0.0 track2 65 1;
109.756125 track4 57 0;
36.585375 track2 65 0;
0.0 track1 76 0;
0.0 track2 67 1;
0.0 track1 74 1;
146.3415 track2 67 0;
0.0 track2 65 1;
146.3415 track2 65 0;
0.0 track4 58 1;
0.0 track2 64 1;
146.3415 track2 64 0;
0.0 track2 62 1;
146.3415 track2 62 0;
0.0 track4 58 0;
0.0 track2 64 1;
0.0 track4 55 1;
146.3415 track2 64 0;
0.0 track2 70 1;
146.3415 track2 70 0;
0.0 track4 55 0;
0.0 track2 69 1;
0.0 track4 52 1;
146.3415 track2 69 0;
0.0 track2 67 1;
146.3415 track1 74 0;
0.0 track2 67 0;
0.0 track4 52 0;
0.0 track1 73 1;
0.0 track2 69 1;
0.0 track4 57 1;
146.3415 track2 69 0;
0.0 track2 67 1;
146.3415 track4 57 0;
0.0 track2 67 0;
0.0 track4 45 1;
0.0 track2 65 1;
146.3415 track2 65 0;
0.0 track2 64 1;
146.3415 track1 73 0;
0.0 track2 64 0;
0.0 track4 45 0;
0.0 track1 74 1;
0.0 track2 62 1;
0.0 track4 46 1;
146.3415 track2 62 0;
0.0 track2 72 1;
146.3415 track4 46 0;
0.0 track2 72 0;
0.0 track3 50 1;
0.0 track4 53 1;
0.0 track2 70 1;
146.3415 track2 70 0;
0.0 track2 69 1;
146.3415 track4 53 0;
0.0 track2 69 0;
0.0 track3 50 0;
0.0 track4 58 1;
0.0 track2 67 1;
0.0 track3 62 1;
146.3415 track2 67 0;
0.0 track2 65 1;
146.3415 track2 65 0;
0.0 track2 64 1;
146.3415 track2 64 0;
0.0 track2 67 1;
146.3415 track4 58 0;
0.0 track1 74 0;
0.0 track2 67 0;
0.0 track4 57 1;
0.0 track1 81 1;
0.0 track2 65 1;
292.683 track2 65 0;
0.0 track3 62 0;
0.0 track2 64 1;
0.0 track3 61 1;
146.3415 track3 61 0;
0.0 track3 59 1;
109.756125 track4 57 0;
18.2926875 track2 64 0;
18.2926875 track3 59 0;
0.0 track3 57 1;
146.3415 track3 57 0;
0.0 track3 55 1;
146.3415 track3 55 0;
0.0 track2 73 1;
0.0 track3 53 1;
146.3415 track3 53 0;
0.0 track3 52 1;
146.3415 track1 81 0;
0.0 track2 73 0;
0.0 track3 52 0;
0.0 track1 77 1;
0.0 track2 74 1;
0.0 track3 50 1;
146.3415 track3 50 0;
0.0 track3 49 1;
146.3415 track2 74 0;
0.0 track3 49 0;
0.0 track2 69 1;
0.0 track3 50 1;
146.3415 track3 50 0;
0.0 track3 52 1;
146.3415 track2 69 0;
0.0 track3 52 0;
0.0 track2 74 1;
0.0 track3 53 1;
146.3415 track3 53 0;
0.0 track3 50 1;
146.3415 track2 74 0;
0.0 track3 50 0;
0.0 track2 72 1;
0.0 track3 52 1;
146.3415 track3 52 0;
0.0 track3 53 1;
146.3415 track3 53 0;
0.0 track1 77 0;
0.0 track3 55 1;
0.0 track1 74 1;
146.3415 track3 55 0;
0.0 track3 54 1;
146.3415 track2 72 0;
0.0 track3 54 0;
0.0 track2 70 1;
0.0 track3 55 1;
146.3415 track3 55 0;
0.0 track2 70 0;
0.0 track3 57 1;
0.0 track2 69 1;
146.3415 track2 69 0;
0.0 track3 57 0;
0.0 track2 67 1;
0.0 track3 58 1;
146.3415 track3 58 0;
0.0 track3 58 1;
146.3415 track2 67 0;
0.0 track3 58 0;
0.0 track2 65 1;
0.0 track3 57 1;
146.3415 track3 57 0;
0.0 track3 58 1;
146.3415 track1 74 0;
0.0 track2 65 0;
0.0 track3 58 0;
0.0 track1 73 1;
0.0 track2 64 1;
0.0 track3 58 1;
