playing ...
opening file 'op87_07b.mid'...
38699.505 track1 76 1;
38852.566 track1 76 0;
38852.566 track1 81 1;
39005.627 track2 57 0;
39005.627 track2 52 1;
39158.688 track2 52 0;
39158.688 track2 57 1;
39308.688 track1 81 0;
0.0 track2 57 0;
39308.688 track1 76 1;
0.0 track2 61 1;
39458.688 track1 76 0;
0.0 track2 61 0;
39458.688 track1 73 1;
0.0 track2 64 1;
39608.688 track2 64 0;
39608.688 track2 69 1;
39758.688 track2 69 0;
39758.688 track2 64 1;
39908.688 track1 73 0;
39908.688 track1 81 1;
40058.688 track1 81 0;
40058.688 track1 76 1;
40208.688 track2 64 0;
40208.688 track2 61 1;
40358.688 track2 61 0;
40358.688 track2 64 1;
40508.688 track1 76 0;
40508.688 track1 81 1;
40658.688 track1 81 0;
0.0 track2 64 0;
40658.688 track1 76 1;
0.0 track2 61 1;
40808.688 track2 61 0;
40808.688 track2 69 1;
40958.688 track2 69 0;
40958.688 track2 64 1;
41108.688 track1 76 0;
41108.688 track1 73 1;
41258.688 track1 73 0;
0.0 track2 64 0;
41258.688 track1 69 1;
0.0 track2 61 1;
41408.688 track2 61 0;
41408.688 track2 52 1;
41558.688 track2 52 0;
41558.688 track2 57 1;
41708.688 track1 69 0;
41708.688 track1 81 1;
41858.688 track2 57 0;
41858.688 track1 81 0;
0.0 track2 61 1;
41858.688 track1 76 1;
42008.688 track2 61 0;
42008.688 track2 69 1;
42158.688 track2 69 0;
42158.688 track2 64 1;
42308.688 track1 76 0;
42308.688 track1 73 1;
42458.688 track1 73 0;
42458.688 track1 69 1;
42608.688 track2 64 0;
42608.688 track2 61 1;
42758.688 track2 61 0;
42758.688 track2 57 1;
42908.688 track2 57 0;
42908.688 track2 61 1;
43058.688 track1 69 0;
0.0 track2 61 0;
43058.688 track1 73 1;
0.0 track2 64 1;
43208.688 track2 64 0;
43208.688 track2 69 1;
43358.688 track1 73 0;
0.0 track2 69 0;
43358.688 track1 64 1;
0.0 track2 68 1;
43508.688 track2 68 0;
43508.688 track2 47 1;
43658.688 track2 47 0;
43658.688 track2 52 1;
43808.688 track1 64 0;
43808.688 track1 59 1;
43958.688 track1 59 0;
43958.688 track1 64 1;
44108.688 track1 64 0;
0.0 track2 52 0;
44108.688 track1 68 1;
0.0 track2 59 1;
44258.688 track1 68 0;
0.0 track2 59 0;
44258.688 track1 71 1;
0.0 track2 56 1;
44408.688 track1 71 0;
44408.688 track1 76 1;
44558.688 track1 76 0;
44558.688 track1 71 1;
44708.688 track2 56 0;
44708.688 track2 64 1;
44858.688 track2 64 0;
44858.688 track2 59 1;
45008.688 track1 71 0;
45008.688 track1 68 1;
45158.688 track1 68 0;
45158.688 track1 71 1;
45308.688 track2 59 0;
45308.688 track2 64 1;
45458.688 track1 71 0;
0.0 track2 64 0;
45458.688 track1 68 1;
0.0 track2 59 1;
45608.688 track1 68 0;
45608.688 track1 76 1;
45758.688 track1 76 0;
45758.688 track1 71 1;
45908.688 track2 59 0;
45908.688 track2 56 1;
46058.688 track1 71 0;
0.0 track2 56 0;
46058.688 track1 68 1;
0.0 track2 52 1;
46208.688 track1 68 0;
46208.688 track1 59 1;
46358.688 track1 59 0;
46358.688 track1 64 1;
46508.688 track2 52 0;
46508.688 track2 64 1;
46658.688 track2 64 0;
46658.688 track1 64 0;
0.0 track2 59 1;
46658.688 track1 68 1;
46808.688 track1 68 0;
46808.688 track1 76 1;
46958.688 track1 76 0;
46958.688 track1 71 1;
47108.688 track2 59 0;
47108.688 track2 56 1;
47258.688 track2 56 0;
47258.688 track2 52 1;
47408.688 track1 71 0;
47408.688 track1 68 1;
47558.688 track1 68 0;
47558.688 track1 64 1;
47708.688 track1 64 0;
47708.688 track1 68 1;
47858.688 track1 68 0;
0.0 track2 52 0;
47858.688 track1 71 1;
0.0 track2 56 1;
48008.688 track1 71 0;
48008.688 track1 76 1;
48158.688 track1 76 0;
0.0 track2 56 0;
48158.688 track1 74 1;
0.0 track2 54 1;
48308.688 track2 54 0;
48308.688 track2 57 1;
48458.688 track2 57 0;
48458.688 track2 54 1;
48608.688 track1 74 0;
48608.688 track1 69 1;
48758.688 track1 69 0;
0.0 track2 54 0;
48758.688 track1 73 1;
0.0 track2 52 1;
48908.688 track2 52 0;
48908.688 track2 57 1;
49058.688 track1 73 0;
